================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۰۷_۱۶۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 1529
================================================================================

[00:21:31.038 --> 00:21:35.577] patient_1
[00:21:35.982 --> 00:21:55.996] patient_1
[00:21:56.367 --> 00:21:57.953] patient_1
[00:21:58.190 --> 00:21:59.894] patient_1
[00:22:00.417 --> 00:22:00.772] patient_1
[00:22:00.991 --> 00:22:02.172] patient_1
[00:22:04.012 --> 00:22:05.682] patient_1
[00:22:12.365 --> 00:22:14.491] doctor
[00:22:13.630 --> 00:22:14.255] patient_1
[00:22:18.845 --> 00:22:23.080] patient_1
[00:22:23.317 --> 00:22:31.855] doctor
[00:22:23.941 --> 00:22:25.139] patient_1
[00:22:26.084 --> 00:22:26.607] patient_1
[00:22:27.029 --> 00:22:30.134] patient_1
[00:22:32.108 --> 00:22:35.770] doctor
[00:22:33.104 --> 00:22:33.712] patient_1
[00:22:35.197 --> 00:22:36.513] patient_1
[00:22:36.665 --> 00:22:37.846] patient_1
[00:22:38.183 --> 00:22:45.946] patient_1
[00:22:47.465 --> 00:22:50.249] patient_1
[00:22:53.860 --> 00:23:00.239] patient_1
[00:23:05.521 --> 00:23:06.095] patient_1
[00:23:06.095 --> 00:23:07.799] doctor
[00:23:08.423 --> 00:23:12.625] doctor
[00:23:09.959 --> 00:23:10.313] patient_1
[00:23:12.912 --> 00:23:13.975] doctor
[00:23:13.132 --> 00:23:13.908] patient_1
[00:23:13.975 --> 00:23:14.498] patient_1
[00:23:14.971 --> 00:23:15.781] patient_1
[00:23:16.574 --> 00:23:19.122] patient_1
[00:23:19.915 --> 00:23:22.109] patient_1
[00:23:22.463 --> 00:23:23.965] patient_1
[00:23:28.775 --> 00:23:33.736] doctor
[00:23:34.073 --> 00:23:41.768] doctor
[00:23:42.072 --> 00:23:44.907] doctor
[00:23:42.258 --> 00:23:42.663] patient_1
[00:23:45.700 --> 00:23:48.552] patient_1
[00:23:48.822 --> 00:23:52.028] patient_1
[00:23:52.433 --> 00:23:56.365] patient_1
[00:23:57.142 --> 00:23:58.036] patient_1
[00:23:58.036 --> 00:23:59.572] doctor
[00:24:03.335 --> 00:24:04.803] doctor
[00:24:22.471 --> 00:24:24.580] patient_1
[00:24:25.171 --> 00:24:25.643] patient_1
[00:24:27.263 --> 00:24:30.031] patient_1
[00:24:30.284 --> 00:24:30.689] patient_1
[00:24:35.060 --> 00:24:37.642] patient_1
[00:24:38.317 --> 00:24:40.747] patient_1
[00:24:41.675 --> 00:24:45.286] patient_1
[00:24:45.995 --> 00:24:51.243] patient_1
[00:24:51.563 --> 00:24:52.778] patient_1
[00:24:54.449 --> 00:24:55.968] patient_1
[00:24:55.968 --> 00:24:59.393] doctor
[00:25:00.031 --> 00:25:01.027] patient_1
[00:25:01.263 --> 00:25:03.372] patient_1
[00:25:06.005 --> 00:25:06.680] patient_1
[00:25:07.473 --> 00:25:08.975] patient_1
[00:25:07.726 --> 00:25:08.519] doctor
[00:25:12.046 --> 00:25:13.025] patient_1
[00:25:24.398 --> 00:25:25.023] doctor
[00:25:34.439 --> 00:25:38.405] patient_1
[00:25:38.506 --> 00:25:41.594] patient_1
[00:25:43.568 --> 00:25:48.580] patient_1
[00:25:50.167 --> 00:25:50.892] patient_1
[00:25:52.529 --> 00:25:53.744] patient_1
[00:25:54.993 --> 00:26:00.697] patient_1
[00:25:57.153 --> 00:25:58.098] doctor
[00:25:58.520 --> 00:26:00.022] doctor
[00:26:01.574 --> 00:26:07.379] patient_1
[00:26:07.700 --> 00:26:13.471] patient_1
[00:26:14.483 --> 00:26:23.140] patient_1
[00:26:20.137 --> 00:26:21.335] doctor
[00:26:23.275 --> 00:26:29.722] patient_1
[00:26:29.738 --> 00:26:30.717] patient_1
[00:26:30.852 --> 00:26:31.915] patient_1
[00:26:32.995 --> 00:26:34.868] patient_1
[00:26:35.594 --> 00:26:37.096] patient_1
[00:26:39.678 --> 00:26:41.770] patient_1
[00:26:42.867 --> 00:26:45.837] patient_1
[00:26:46.613 --> 00:26:47.677] patient_1
[00:26:48.115 --> 00:26:49.448] patient_1
[00:26:50.731 --> 00:26:52.013] patient_1
[00:26:53.026 --> 00:26:57.532] patient_1
[00:26:58.122 --> 00:27:02.003] patient_1
[00:27:02.476 --> 00:27:03.742] patient_1
[00:27:04.180 --> 00:27:04.720] patient_1
[00:27:05.024 --> 00:27:06.020] patient_1
[00:27:06.745 --> 00:27:08.804] patient_1
[00:27:11.622 --> 00:27:14.120] patient_1
[00:27:12.483 --> 00:27:20.735] doctor
[00:27:15.318 --> 00:27:16.162] patient_1
[00:27:17.596 --> 00:27:20.026] patient_1
[00:28:33.230 --> 00:28:34.546] doctor
[00:28:38.647 --> 00:28:40.182] doctor
[00:28:41.701 --> 00:28:44.502] doctor
[00:28:47.489 --> 00:28:49.649] doctor
[00:28:50.392 --> 00:28:52.889] doctor
[00:28:53.075 --> 00:28:57.192] doctor
[00:28:53.935 --> 00:28:54.408] patient_1
[00:28:59.167 --> 00:29:00.027] doctor
[00:29:01.276 --> 00:29:03.301] doctor
[00:29:03.858 --> 00:29:04.263] doctor
[00:29:07.452 --> 00:29:09.427] doctor
[00:29:11.080 --> 00:29:12.920] doctor
[00:29:14.202 --> 00:29:16.058] doctor
[00:29:18.303 --> 00:29:19.433] patient_1
[00:29:19.484 --> 00:29:22.319] doctor
[00:29:23.973 --> 00:29:25.762] doctor
[00:29:26.268 --> 00:29:27.196] doctor
[00:29:56.660 --> 00:29:59.967] patient_1
[00:29:57.115 --> 00:29:59.967] doctor
[00:30:00.031 --> 00:30:26.221] patient_1
[00:30:03.625 --> 00:30:03.980] doctor
[00:30:08.536 --> 00:30:12.822] doctor
[00:30:26.963 --> 00:30:27.318] patient_1
[00:30:27.773 --> 00:30:35.705] patient_1
[00:30:35.890 --> 00:30:37.207] patient_1
[00:30:37.966 --> 00:30:45.307] patient_1
[00:30:45.695 --> 00:30:47.804] patient_1
[00:30:48.243 --> 00:30:50.352] patient_1
[00:30:51.972 --> 00:30:53.474] patient_1
[00:30:54.976 --> 00:30:57.068] patient_1
[00:30:57.862 --> 00:30:58.368] patient_1
[00:30:58.452 --> 00:31:00.427] patient_1
[00:31:00.967 --> 00:31:01.405] patient_1
[00:31:03.464 --> 00:31:06.755] patient_1
[00:31:08.915 --> 00:31:11.581] patient_1
[00:31:11.767 --> 00:31:12.323] patient_1
[00:31:13.657 --> 00:31:15.344] patient_1
[00:31:16.222 --> 00:31:17.048] patient_1
[00:31:17.251 --> 00:31:23.090] patient_1
[00:31:23.765 --> 00:31:40.454] patient_1
[00:31:42.513 --> 00:31:43.053] patient_1
[00:31:43.306 --> 00:31:55.507] patient_1
[00:31:55.574 --> 00:31:57.059] patient_1
[00:31:57.818 --> 00:31:58.308] patient_1
[00:31:58.645 --> 00:32:05.075] patient_1
[00:32:06.796 --> 00:32:11.234] patient_1
[00:32:13.462 --> 00:32:17.815] patient_1
[00:32:22.895 --> 00:32:36.023] patient_1
[00:32:36.462 --> 00:32:37.711] patient_1
[00:32:38.335 --> 00:32:39.922] patient_1
[00:32:40.360 --> 00:32:44.123] patient_1
[00:32:45.625 --> 00:32:51.380] patient_1
[00:32:52.426 --> 00:33:08.828] patient_1
[00:32:52.797 --> 00:32:54.974] doctor
[00:32:59.092 --> 00:32:59.716] doctor
[00:33:00.560 --> 00:33:01.353] doctor
[00:33:02.247 --> 00:33:02.956] doctor
[00:33:10.347 --> 00:33:14.684] patient_1
[00:33:12.845 --> 00:33:16.439] doctor
[00:33:16.996 --> 00:33:19.561] patient_1
[00:33:17.030 --> 00:33:22.261] doctor
[00:33:21.316 --> 00:33:22.143] patient_1
[00:33:22.396 --> 00:33:25.552] doctor
[00:33:22.447 --> 00:33:27.796] patient_1
[00:33:27.796 --> 00:33:31.002] doctor
[00:33:31.610 --> 00:33:34.259] doctor
[00:33:34.411 --> 00:33:36.908] doctor
[00:33:36.908 --> 00:33:38.326] patient_1
[00:33:38.461 --> 00:33:50.527] patient_1
[00:33:41.178 --> 00:33:42.308] doctor
[00:33:43.169 --> 00:33:44.249] doctor
[00:33:45.650 --> 00:33:51.725] doctor
[00:34:05.107 --> 00:34:09.916] patient_1
[00:34:05.123 --> 00:34:09.713] doctor
[00:34:09.967 --> 00:34:10.743] patient_1
[00:34:12.312 --> 00:34:15.552] patient_1
[00:34:16.565 --> 00:34:17.341] patient_1
[00:34:17.240 --> 00:34:19.788] doctor
[00:34:27.128 --> 00:34:36.916] doctor
[00:34:28.816 --> 00:34:29.423] patient_1
[00:34:37.102 --> 00:34:43.126] doctor
[00:34:43.598 --> 00:34:58.634] doctor
[00:34:46.906 --> 00:34:47.277] patient_1
[00:34:58.972 --> 00:34:59.967] doctor
[00:35:00.436 --> 00:35:07.405] patient_2
[00:35:08.165 --> 00:35:33.646] patient_2
[00:35:21.395 --> 00:35:22.019] doctor
[00:35:34.169 --> 00:35:36.245] patient_2
[00:35:36.312 --> 00:35:36.920] patient_1
[00:35:37.122 --> 00:35:40.160] patient_2
[00:35:40.379 --> 00:35:45.745] patient_2
[00:35:46.066 --> 00:35:51.415] patient_2
[00:35:52.478 --> 00:35:57.018] patient_2
[00:35:54.571 --> 00:35:54.925] doctor
[00:35:57.845 --> 00:35:59.549] patient_2
[00:36:00.207 --> 00:36:02.030] patient_2
[00:36:02.333 --> 00:36:06.012] patient_2
[00:36:06.502 --> 00:36:07.379] patient_2
[00:36:07.750 --> 00:36:14.483] patient_2
[00:36:11.935 --> 00:36:12.813] patient_1
[00:36:14.905 --> 00:36:24.777] patient_2
[00:36:24.980 --> 00:36:34.092] patient_2
[00:36:34.312 --> 00:36:42.344] patient_2
[00:36:42.547 --> 00:36:48.031] patient_2
[00:36:46.310 --> 00:36:47.103] patient_1
[00:36:48.149 --> 00:36:48.571] patient_2
[00:36:48.571 --> 00:36:49.313] patient_1
[00:36:49.313 --> 00:36:51.085] patient_2
[00:36:51.085 --> 00:37:07.488] patient_1
[00:36:57.059 --> 00:37:01.295] patient_2
[00:37:06.948 --> 00:37:07.859] doctor
[00:37:08.062 --> 00:37:09.665] doctor
[00:37:10.610 --> 00:37:11.048] doctor
[00:37:10.627 --> 00:37:11.082] patient_2
[00:37:11.251 --> 00:37:12.702] doctor
[00:37:14.069 --> 00:37:15.352] doctor
[00:37:15.318 --> 00:37:17.815] patient_2
[00:37:18.794 --> 00:37:19.148] doctor
[00:37:19.672 --> 00:37:20.819] patient_1
[00:37:19.975 --> 00:37:20.363] doctor
[00:37:21.106 --> 00:37:21.545] patient_1
[00:37:21.764 --> 00:37:26.827] patient_1
[00:37:27.434 --> 00:37:28.936] patient_1
[00:37:29.425 --> 00:37:30.860] patient_1
[00:37:30.978 --> 00:37:31.619] patient_1
[00:37:33.155 --> 00:37:46.840] patient_2
[00:37:44.444 --> 00:37:45.136] patient_1
[00:37:47.195 --> 00:37:47.684] patient_2
[00:37:47.920 --> 00:37:49.945] patient_2
[00:37:50.603 --> 00:37:54.839] patient_2
[00:37:55.598 --> 00:37:58.535] patient_1
[00:37:58.889 --> 00:38:00.897] patient_1
[00:38:01.218 --> 00:38:01.977] patient_1
[00:38:01.977 --> 00:38:12.338] patient_2
[00:38:03.395 --> 00:38:04.660] patient_1
[00:38:05.032 --> 00:38:05.993] patient_1
[00:38:11.258 --> 00:38:12.575] patient_1
[00:38:12.743 --> 00:38:13.553] patient_1
[00:38:13.030 --> 00:38:13.756] patient_2
[00:38:13.756 --> 00:38:14.532] patient_1
[00:38:14.195 --> 00:38:15.207] patient_2
[00:38:15.207 --> 00:38:19.088] patient_1
[00:38:19.055 --> 00:38:22.531] patient_2
[00:38:19.831 --> 00:38:20.489] patient_1
[00:38:21.485 --> 00:38:23.459] patient_1
[00:38:23.982 --> 00:38:24.927] patient_1
[00:38:24.303 --> 00:38:26.277] patient_2
[00:38:26.665 --> 00:38:27.087] patient_1
[00:38:27.087 --> 00:38:27.442] patient_2
[00:38:27.442 --> 00:38:31.340] patient_1
[00:38:27.458 --> 00:38:28.977] patient_2
[00:38:32.673 --> 00:38:33.449] patient_1
[00:38:33.483 --> 00:38:35.710] patient_1
[00:38:35.727 --> 00:38:41.363] patient_1
[00:38:35.795 --> 00:38:37.347] patient_2
[00:38:39.035 --> 00:38:40.469] patient_2
