================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۰۹_۱۶۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 3521
================================================================================

[00:51:17.707 --> 00:51:28.338] patient_2
[00:51:28.490 --> 00:51:55.675] patient_3
[00:51:56.300 --> 00:51:57.025] patient_3
[00:51:57.025 --> 00:52:06.880] doctor
[00:52:06.458 --> 00:52:11.352] patient_3
[00:52:07.488 --> 00:52:07.960] doctor
[00:52:11.572 --> 00:52:18.322] patient_3
[00:52:13.293 --> 00:52:13.715] doctor
[00:52:18.794 --> 00:52:43.870] patient_3
[00:52:30.067 --> 00:52:31.872] doctor
[00:52:37.947 --> 00:52:43.567] doctor
[00:52:44.680 --> 00:52:58.535] patient_3
[00:52:46.115 --> 00:52:46.638] doctor
[00:52:49.085 --> 00:52:49.675] doctor
[00:52:51.920 --> 00:52:53.101] patient_2
[00:52:59.108 --> 00:53:04.036] patient_2
[00:53:04.036 --> 00:53:04.778] patient_3
[00:53:04.964 --> 00:53:12.963] patient_3
[00:53:12.963 --> 00:53:25.788] doctor
[00:53:25.889 --> 00:53:33.263] patient_3
[00:53:34.529 --> 00:53:34.968] doctor
[00:53:35.002 --> 00:53:35.423] doctor
[00:53:35.508 --> 00:53:48.130] patient_3
[00:53:38.090 --> 00:53:38.478] doctor
[00:53:49.683 --> 00:53:56.821] patient_3
[00:53:54.458 --> 00:53:55.015] doctor
[00:53:58.357 --> 00:54:07.486] patient_3
[00:54:07.722 --> 00:54:09.224] patient_2
[00:54:09.427 --> 00:54:16.025] patient_2
[00:54:16.025 --> 00:54:23.180] patient_3
[00:54:23.298 --> 00:54:31.094] patient_3
[00:54:32.663 --> 00:54:34.722] doctor
[00:54:37.456 --> 00:54:45.573] patient_3
[00:54:46.703 --> 00:54:54.652] patient_2
[00:54:52.930 --> 00:54:59.967] patient_3
[00:55:00.031 --> 00:55:01.651] doctor
[00:55:02.292 --> 00:55:06.899] doctor
[00:55:08.705 --> 00:55:10.358] doctor
[00:55:10.679 --> 00:55:14.476] doctor
[00:55:16.349 --> 00:55:17.227] doctor
[00:55:19.117 --> 00:55:24.331] doctor
[00:55:24.533 --> 00:55:30.440] doctor
[00:55:30.980 --> 00:55:42.640] doctor
[00:55:32.853 --> 00:55:37.443] patient_1
[00:55:38.354 --> 00:55:39.316] patient_1
[00:55:43.501 --> 00:55:59.752] doctor
[00:56:00.005 --> 00:56:09.488] doctor
[00:56:10.433 --> 00:56:24.541] doctor
[00:56:37.045 --> 00:56:56.114] doctor
[00:56:56.924 --> 00:57:39.247] doctor
[00:57:01.514 --> 00:57:04.703] patient_1
[00:57:40.377 --> 00:57:49.777] doctor
[00:57:50.063 --> 00:58:21.198] doctor
[00:57:55.514 --> 00:57:57.539] patient_1
[00:57:59.750 --> 00:58:01.943] patient_1
[00:58:21.265 --> 00:58:41.347] doctor
[00:58:42.207 --> 00:58:50.273] doctor
[00:58:50.408 --> 00:58:57.260] doctor
[00:58:57.361 --> 00:59:08.245] doctor
[00:59:08.330 --> 00:59:20.632] doctor
[00:59:08.667 --> 00:59:09.663] patient_1
[00:59:16.042 --> 00:59:16.936] patient_1
[00:59:18.252 --> 00:59:19.535] patient_1
[00:59:21.931 --> 00:59:36.798] doctor
[00:59:26.943 --> 00:59:27.297] patient_1
[00:59:29.339 --> 00:59:32.309] patient_1
[00:59:34.402 --> 00:59:36.258] patient_1
[00:59:37.237 --> 00:59:41.827] doctor
[01:00:18.526 --> 01:00:34.675] patient_1
[01:00:35.452 --> 01:00:37.342] patient_1
[01:00:35.570 --> 01:00:36.346] patient_4
[01:00:38.354 --> 01:00:44.294] patient_4
[01:00:42.590 --> 01:00:43.231] patient_3
[01:00:44.682 --> 01:00:50.032] patient_4
[01:00:50.032 --> 01:01:00.173] patient_3
[01:00:58.385 --> 01:00:59.026] patient_1
[01:00:59.026 --> 01:00:59.515] patient_2
[01:01:00.258 --> 01:01:01.135] patient_3
[01:01:01.135 --> 01:01:08.037] patient_2
[01:01:03.970 --> 01:01:04.797] patient_3
[01:01:08.037 --> 01:01:17.690] doctor
[01:01:09.252 --> 01:01:11.868] patient_1
[01:01:18.601 --> 01:01:19.208] doctor
[01:01:19.613 --> 01:01:20.120] doctor
[01:01:19.900 --> 01:01:20.761] patient_1
[01:06:42.395 --> 01:07:25.308] patient_1
[01:07:27.535 --> 01:07:30.303] doctor
[01:07:32.648 --> 01:07:33.880] doctor
[01:07:33.880 --> 01:07:34.606] patient_1
[01:07:34.606 --> 01:07:35.332] doctor
[01:07:39.938 --> 01:07:48.410] patient_1
[01:07:49.135 --> 01:07:51.025] patient_1
[01:07:51.869 --> 01:07:52.510] patient_1
[01:07:53.405 --> 01:07:54.029] patient_1
[01:10:11.253 --> 01:10:11.894] patient_1
[01:10:12.552 --> 01:10:12.940] doctor
[01:10:12.991 --> 01:10:13.750] doctor
[01:10:15.455 --> 01:10:39.451] patient_1
[01:10:21.563 --> 01:10:22.390] doctor
[01:10:31.199 --> 01:10:32.363] doctor
[01:10:39.552 --> 01:10:41.037] patient_1
[01:10:41.037 --> 01:10:42.877] doctor
[01:10:42.877 --> 01:10:59.077] patient_1
[01:10:43.147 --> 01:10:45.610] doctor
[01:10:46.218 --> 01:10:49.222] doctor
[01:10:53.322 --> 01:10:53.795] doctor
[01:10:59.279 --> 01:11:09.742] patient_1
[01:11:18.972 --> 01:11:20.761] doctor
[01:11:21.115 --> 01:11:21.824] patient_1
[01:11:22.297 --> 01:11:28.034] patient_1
[01:11:51.963 --> 01:11:52.655] doctor
[01:11:54.123 --> 01:11:56.789] doctor
[01:12:29.881 --> 01:12:39.027] doctor
[01:13:29.956 --> 01:13:30.783] doctor
[01:13:31.525 --> 01:13:33.078] doctor
[01:13:45.329 --> 01:13:46.038] doctor
[01:13:49.126 --> 01:13:49.582] doctor
[01:13:50.088 --> 01:13:51.978] doctor
[01:14:01.597 --> 01:14:04.634] doctor
[01:14:07.216 --> 01:14:20.581] doctor
[01:14:21.323 --> 01:14:23.028] doctor
[01:14:31.246 --> 01:14:36.241] doctor
[01:14:39.042 --> 01:14:39.818] doctor
[01:14:49.572 --> 01:14:51.142] doctor
[01:14:58.043 --> 01:14:59.022] doctor
[01:15:00.031 --> 01:15:01.027] patient_1
[01:15:01.027 --> 01:15:01.567] doctor
[01:15:02.798 --> 01:15:03.794] doctor
[01:15:37.173 --> 01:15:38.084] doctor
[01:15:39.063 --> 01:15:41.037] doctor
[01:17:13.867 --> 01:17:15.706] patient_1
[01:17:16.921 --> 01:17:21.410] patient_1
[01:17:21.933 --> 01:17:23.030] patient_1
[01:18:01.066 --> 01:18:03.985] patient_1
[01:18:04.475 --> 01:18:06.128] patient_1
[01:18:15.983 --> 01:18:16.692] doctor
[01:18:19.257 --> 01:18:20.708] doctor
[01:18:21.383 --> 01:18:22.902] doctor
[01:18:23.510 --> 01:18:25.366] doctor
[01:18:26.176 --> 01:18:29.129] doctor
[01:18:29.669 --> 01:18:36.385] doctor
[01:18:32.251 --> 01:18:32.605] patient_1
[01:18:37.330 --> 01:18:39.153] doctor
[01:18:40.807 --> 01:18:41.347] doctor
[01:18:53.463 --> 01:19:00.365] patient_1
[01:19:05.090 --> 01:19:07.030] doctor
[01:19:08.060 --> 01:19:08.448] doctor
[01:19:08.870 --> 01:19:17.206] patient_1
[01:19:18.269 --> 01:19:20.243] patient_1
[01:19:21.104 --> 01:19:21.543] patient_1
[01:19:25.306 --> 01:19:26.133] doctor
[01:19:27.820 --> 01:19:30.132] patient_1
[01:19:37.557 --> 01:19:38.958] doctor
[01:19:39.582 --> 01:19:40.358] doctor
[01:19:40.915 --> 01:19:42.974] doctor
[01:19:42.974 --> 01:19:43.345] patient_1
[01:19:43.497 --> 01:19:43.970] doctor
[01:19:43.970 --> 01:19:45.623] patient_1
[01:19:46.518 --> 01:19:48.155] patient_1
[01:19:48.965 --> 01:19:51.293] patient_1
[01:19:51.715 --> 01:19:53.200] patient_1
[01:19:54.112 --> 01:19:59.967] patient_1
[01:19:56.812 --> 01:19:57.436] doctor
[01:20:00.031 --> 01:20:03.018] doctor
[01:20:00.537 --> 01:20:01.027] patient_1
[01:20:01.027 --> 01:20:02.039] patient_2
[01:20:03.018 --> 01:20:03.878] patient_2
[01:20:04.115 --> 01:20:09.953] doctor
[01:20:10.882 --> 01:20:16.568] doctor
[01:20:13.582 --> 01:20:14.392] patient_2
[01:20:18.155 --> 01:20:20.180] doctor
[01:20:21.091 --> 01:20:26.558] doctor
[01:20:28.043 --> 01:20:32.836] patient_2
[01:20:31.857 --> 01:20:33.190] doctor
[01:20:34.912 --> 01:20:36.025] doctor
[01:20:50.302 --> 01:20:52.934] patient_2
[01:20:50.504 --> 01:20:52.816] patient_3
[01:20:53.153 --> 01:20:53.879] patient_3
[01:20:55.077 --> 01:20:58.300] patient_3
[01:20:56.157 --> 01:20:57.271] patient_2
[01:20:59.887 --> 01:21:00.967] patient_3
[01:21:00.967 --> 01:21:11.260] patient_2
[01:21:02.502 --> 01:21:03.363] patient_3
[01:21:12.070 --> 01:21:13.808] patient_2
[01:21:14.095 --> 01:21:16.373] patient_2
[01:21:16.559 --> 01:21:17.909] patient_2
[01:21:18.483 --> 01:21:19.968] patient_2
[01:21:20.322 --> 01:21:22.060] patient_2
[01:21:25.503 --> 01:21:33.603] patient_1
[01:21:34.480 --> 01:21:42.547] patient_2
[01:21:35.088 --> 01:21:36.252] patient_1
[01:21:39.847 --> 01:21:40.589] patient_1
[01:21:40.910 --> 01:21:43.643] patient_1
[01:21:44.234 --> 01:21:47.693] patient_3
[01:21:44.302 --> 01:21:44.808] patient_2
[01:21:47.896 --> 01:21:50.984] patient_3
[01:21:51.203 --> 01:21:54.292] patient_3
[01:21:54.427 --> 01:22:01.700] patient_3
[01:21:58.190 --> 01:21:58.561] doctor
[01:22:02.138 --> 01:22:13.985] patient_3
[01:22:09.665 --> 01:22:10.171] doctor
[01:22:13.006 --> 01:22:13.360] doctor
[01:22:14.423 --> 01:22:23.047] patient_3
[01:22:14.457 --> 01:22:16.043] doctor
[01:22:26.675 --> 01:22:28.480] patient_3
[01:22:28.835 --> 01:22:38.842] patient_3
[01:22:39.719 --> 01:22:40.090] patient_3
[01:22:40.090 --> 01:22:41.170] patient_2
[01:22:41.778 --> 01:22:43.702] patient_2
[01:22:43.938 --> 01:22:46.435] patient_2
[01:22:45.372 --> 01:22:45.929] doctor
[01:22:48.241 --> 01:22:51.970] patient_2
[01:22:51.481 --> 01:22:51.903] patient_3
[01:22:51.970 --> 01:22:54.198] patient_3
[01:22:55.177 --> 01:22:56.628] patient_3
[01:22:57.472 --> 01:22:58.315] patient_2
[01:22:58.687 --> 01:23:02.804] patient_2
[01:23:02.804 --> 01:23:10.145] patient_3
[01:23:11.967 --> 01:23:29.146] patient_2
[01:23:18.447 --> 01:23:19.038] patient_1
[01:23:29.146 --> 01:23:31.880] patient_3
[01:23:29.213 --> 01:23:30.091] patient_2
[01:23:30.867 --> 01:23:31.559] patient_2
[01:23:32.386 --> 01:23:43.523] patient_3
[01:23:44.452 --> 01:23:58.897] patient_3
[01:23:51.522 --> 01:23:52.045] doctor
[01:24:05.140 --> 01:24:06.237] patient_2
