================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۱_۱۳۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 2183
================================================================================

[00:15:58.790 --> 00:16:00.815] patient_2
[00:16:01.760 --> 00:16:03.093] patient_2
[00:16:04.392 --> 00:16:09.775] patient_2
[00:16:10.298 --> 00:16:14.281] patient_2
[00:16:14.517 --> 00:16:18.432] patient_2
[00:16:18.432 --> 00:16:23.967] patient_1
[00:16:18.466 --> 00:16:19.208] patient_2
[00:16:23.663 --> 00:16:24.068] patient_2
[00:16:24.068 --> 00:16:24.760] patient_1
[00:16:24.760 --> 00:16:26.026] patient_2
[00:16:26.498 --> 00:16:27.123] patient_2
[00:16:27.967 --> 00:16:28.321] patient_2
[00:16:30.818 --> 00:16:31.527] patient_2
[00:16:31.915 --> 00:16:32.776] patient_2
[00:16:33.974 --> 00:16:34.615] patient_2
[00:16:36.488 --> 00:16:40.268] patient_1
[00:17:03.134 --> 00:17:18.085] patient_1
[00:17:20.785 --> 00:17:26.995] doctor
[00:17:23.350 --> 00:17:23.806] patient_1
[00:17:24.025 --> 00:17:25.173] patient_1
[00:17:27.434 --> 00:17:36.378] doctor
[00:17:36.935 --> 00:17:45.355] doctor
[00:17:46.030 --> 00:18:03.732] doctor
[00:17:50.249 --> 00:17:50.654] patient_1
[00:17:50.688 --> 00:17:51.970] patient_1
[00:18:02.534 --> 00:18:06.179] patient_2
[00:18:04.340 --> 00:18:22.497] doctor
[00:18:11.410 --> 00:18:12.524] patient_2
[00:18:23.122 --> 00:18:25.737] doctor
[00:18:23.341 --> 00:18:24.623] patient_1
[00:18:26.969 --> 00:18:31.576] patient_1
[00:18:31.947 --> 00:18:41.971] doctor
[00:18:40.722 --> 00:18:41.617] patient_1
[00:18:42.038 --> 00:18:42.410] patient_2
[00:18:42.410 --> 00:18:42.967] patient_1
[00:18:43.253 --> 00:18:45.852] doctor
[00:18:43.270 --> 00:18:43.777] patient_2
[00:18:45.852 --> 00:18:55.977] patient_2
[00:18:49.244 --> 00:18:53.243] patient_1
[00:18:56.028 --> 00:18:56.973] patient_2
[00:18:56.973 --> 00:18:57.496] doctor
[00:18:58.255 --> 00:19:00.972] doctor
[00:19:00.972 --> 00:19:16.987] patient_1
[00:19:07.722 --> 00:19:09.038] patient_2
[00:19:09.038 --> 00:19:12.430] doctor
[00:19:13.915 --> 00:19:15.940] doctor
[00:19:17.358 --> 00:19:24.361] doctor
[00:19:24.496 --> 00:19:25.070] doctor
[00:19:26.335 --> 00:19:34.705] doctor
[00:19:34.925 --> 00:19:37.878] doctor
[00:19:37.962 --> 00:19:43.109] doctor
