================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۲۶_۱۸۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 4864
================================================================================

[00:32:46.250 --> 00:32:46.705] patient_1
[00:32:46.840 --> 00:32:49.034] patient_1
[00:32:49.270 --> 00:32:49.709] doctor
[00:32:50.620 --> 00:32:51.835] patient_1
[00:32:51.953 --> 00:32:52.797] patient_1
[00:32:53.033 --> 00:32:54.130] patient_1
[00:32:54.130 --> 00:32:54.873] doctor
[00:32:55.345 --> 00:32:56.746] patient_1
[00:32:57.168 --> 00:32:58.602] patient_1
[00:32:59.294 --> 00:33:04.542] patient_1
[00:33:01.252 --> 00:33:04.373] doctor
[00:33:04.880 --> 00:33:13.267] patient_1
[00:33:04.947 --> 00:33:05.504] doctor
[00:33:13.520 --> 00:33:15.865] patient_1
[00:33:16.507 --> 00:33:19.510] patient_1
[00:33:20.573 --> 00:33:22.379] patient_1
[00:33:22.885 --> 00:33:27.593] patient_1
[00:33:26.176 --> 00:33:27.408] doctor
[00:33:27.712 --> 00:33:29.163] patient_1
[00:33:33.128 --> 00:33:43.372] patient_1
[00:33:44.722 --> 00:33:45.498] patient_1
[00:33:54.003 --> 00:33:58.002] patient_1
[00:33:55.488 --> 00:33:56.247] doctor
[00:33:58.238 --> 00:33:59.926] patient_1
[00:34:00.297 --> 00:34:00.854] patient_1
[00:34:04.921 --> 00:34:05.377] patient_1
[00:34:07.132 --> 00:34:09.325] patient_1
[00:34:10.102 --> 00:34:13.308] patient_1
[00:34:18.674 --> 00:34:20.159] patient_1
[00:34:21.138 --> 00:34:23.129] patient_1
[00:34:21.458 --> 00:34:22.977] doctor
[00:34:25.120 --> 00:34:27.922] patient_1
[00:34:26.723 --> 00:34:27.331] doctor
[00:34:28.377 --> 00:34:31.111] patient_1
[00:34:31.853 --> 00:34:39.245] patient_1
[00:34:40.291 --> 00:34:42.130] patient_1
[00:34:40.578 --> 00:34:41.371] doctor
[00:34:42.130 --> 00:34:45.404] doctor
[00:34:47.851 --> 00:34:48.526] doctor
[00:34:48.627 --> 00:34:50.348] patient_1
[00:34:50.973 --> 00:34:52.255] patient_1
[00:34:53.774 --> 00:34:56.305] patient_1
[00:34:54.668 --> 00:34:56.457] doctor
[00:34:56.947 --> 00:34:57.773] patient_1
[00:34:57.098 --> 00:34:57.655] doctor
[00:35:00.031 --> 00:35:03.338] doctor
[00:35:03.794 --> 00:35:05.498] doctor
[00:35:05.752 --> 00:35:15.033] doctor
[00:35:09.160 --> 00:35:09.953] patient_1
[00:35:11.877 --> 00:35:13.987] patient_1
[00:35:15.505 --> 00:35:30.035] doctor
[00:35:22.812 --> 00:35:23.369] patient_1
[00:35:24.128 --> 00:35:25.242] patient_1
[00:35:26.288 --> 00:35:26.812] patient_1
[00:35:30.473 --> 00:35:35.688] doctor
[00:35:30.727 --> 00:35:31.503] patient_1
[00:35:32.144 --> 00:35:33.123] patient_1
[00:35:36.515 --> 00:35:37.915] doctor
