================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۰_۲۰۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 1205
================================================================================

[00:38:08.947 --> 00:38:11.731] patient_1
[00:38:08.963 --> 00:38:10.820] doctor
[00:38:11.630 --> 00:38:15.072] doctor
[00:38:12.592 --> 00:38:14.954] patient_1
[00:38:15.325 --> 00:38:15.713] patient_1
[00:38:15.832 --> 00:38:26.058] doctor
[00:38:16.557 --> 00:38:20.354] patient_1
[00:38:23.408 --> 00:38:38.393] patient_1
[00:38:27.239 --> 00:38:32.453] doctor
[00:38:33.770 --> 00:38:39.187] doctor
[00:38:39.406 --> 00:38:42.562] doctor
[00:38:43.304 --> 00:38:45.717] doctor
[00:38:47.287 --> 00:38:48.923] doctor
[00:38:48.029 --> 00:38:51.083] patient_1
[00:38:50.392 --> 00:38:50.898] doctor
[00:38:51.505 --> 00:38:58.070] doctor
[00:38:51.809 --> 00:38:52.197] patient_1
[00:38:52.467 --> 00:38:53.075] patient_1
[00:38:54.003 --> 00:38:55.167] patient_1
[00:38:55.268 --> 00:38:55.792] patient_1
[00:38:56.720 --> 00:39:04.448] patient_1
[00:38:59.133 --> 00:39:01.057] doctor
[00:39:01.394 --> 00:39:16.042] doctor
[00:39:11.975 --> 00:39:13.780] patient_1
[00:39:16.683 --> 00:39:17.324] doctor
[00:39:18.640 --> 00:39:20.378] doctor
[00:39:20.581 --> 00:39:23.095] doctor
[00:39:23.720 --> 00:39:25.492] doctor
[00:39:24.108 --> 00:39:24.918] patient_1
[00:39:26.335 --> 00:39:28.141] doctor
[00:39:27.128 --> 00:39:27.803] patient_1
[00:39:29.440 --> 00:39:32.579] doctor
[00:39:34.283 --> 00:39:37.540] doctor
[00:39:34.418 --> 00:39:35.785] patient_1
[00:39:38.452 --> 00:39:40.173] doctor
[00:39:41.168 --> 00:39:44.813] doctor
[00:39:41.236 --> 00:39:42.299] patient_1
[00:39:45.961 --> 00:39:47.615] doctor
[00:39:48.897 --> 00:39:49.353] doctor
[00:39:50.348 --> 00:39:50.855] doctor
[00:39:52.154 --> 00:39:54.027] doctor
[00:39:56.761 --> 00:39:57.166] doctor
[00:39:57.267 --> 00:39:59.512] doctor
[00:40:00.352 --> 00:40:03.187] patient_2
[00:40:00.554 --> 00:40:02.326] doctor
[00:40:04.030 --> 00:40:04.958] patient_2
[00:40:06.005 --> 00:40:07.709] patient_2
[00:40:08.165 --> 00:40:09.447] patient_2
[00:40:10.679 --> 00:40:11.489] patient_2
[00:40:13.480 --> 00:40:14.662] patient_2
[00:40:19.960 --> 00:40:21.023] patient_2
[00:40:21.142 --> 00:40:21.496] patient_2
[00:40:29.090 --> 00:40:33.308] patient_2
[00:40:34.304 --> 00:40:36.397] patient_2
[00:40:37.088 --> 00:40:39.029] patient_2
[00:40:58.975 --> 00:40:59.397] patient_1
[00:40:59.971 --> 00:41:02.063] patient_1
[00:41:02.722 --> 00:41:04.882] patient_1
[00:41:21.503 --> 00:41:22.499] patient_2
[00:41:24.558 --> 00:41:25.925] patient_2
[00:41:35.965 --> 00:41:36.421] doctor
[00:41:37.349 --> 00:41:41.686] doctor
[00:41:43.508 --> 00:41:47.896] doctor
[00:41:48.115 --> 00:41:51.406] patient_2
[00:41:52.267 --> 00:41:55.152] doctor
[00:41:54.578 --> 00:41:55.726] patient_2
[00:41:57.987 --> 00:42:00.232] patient_2
[00:42:02.408 --> 00:42:03.370] patient_2
[00:42:19.823 --> 00:42:24.565] doctor
[00:42:25.426 --> 00:42:43.128] doctor
[00:42:36.344 --> 00:42:36.817] patient_1
[00:42:43.229 --> 00:42:45.963] doctor
[00:42:46.823 --> 00:42:48.190] doctor
[00:42:48.595 --> 00:42:51.380] doctor
[00:42:52.173 --> 00:42:54.198] doctor
[00:42:56.273 --> 00:42:56.695] doctor
[00:42:56.898 --> 00:43:00.222] doctor
[00:43:17.317 --> 00:43:22.362] patient_2
[00:43:23.223 --> 00:43:24.910] patient_2
[00:43:24.877 --> 00:43:27.610] patient_1
[00:43:28.252 --> 00:43:29.348] patient_2
[00:43:29.804 --> 00:43:32.723] patient_2
