================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۹_۱۳۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 1661
================================================================================

[01:36:05.135 --> 01:36:07.497] doctor
[01:36:06.029 --> 01:36:07.345] patient_1
[01:36:07.750 --> 01:36:16.070] doctor
[01:36:13.015 --> 01:36:14.298] patient_1
[01:36:16.306 --> 01:36:21.908] doctor
[01:36:23.208 --> 01:36:34.615] doctor
[01:36:34.818 --> 01:36:47.592] doctor
[01:36:55.844 --> 01:36:57.278] doctor
[01:36:58.392 --> 01:36:59.354] doctor
[01:37:00.788 --> 01:37:02.088] doctor
[01:37:13.192 --> 01:37:19.233] doctor
[01:37:22.203 --> 01:37:26.945] doctor
[01:37:30.370 --> 01:37:43.448] doctor
[01:37:44.410 --> 01:37:45.490] doctor
[01:37:46.283 --> 01:37:47.313] doctor
[01:38:22.632 --> 01:38:26.193] doctor
[01:38:54.155 --> 01:38:57.023] doctor
[01:38:57.040 --> 01:39:02.525] doctor
[01:39:02.947 --> 01:39:05.225] doctor
[01:39:07.756 --> 01:39:22.437] doctor
[01:39:22.775 --> 01:39:24.901] doctor
[01:39:32.090 --> 01:39:32.478] doctor
[01:39:32.663 --> 01:39:33.642] doctor
[01:39:33.963 --> 01:39:36.562] doctor
[01:39:38.975 --> 01:39:40.038] doctor
[01:39:42.974 --> 01:39:49.184] doctor
[01:39:49.471 --> 01:39:50.213] doctor
[01:39:51.867 --> 01:39:52.660] doctor
[01:40:16.062 --> 01:40:17.328] patient_1
[01:40:17.817 --> 01:40:21.023] patient_1
[01:40:39.940 --> 01:40:42.438] patient_1
[01:40:45.239 --> 01:40:45.695] patient_1
[01:40:45.695 --> 01:40:46.859] patient_3
[01:40:47.197 --> 01:40:47.973] patient_1
[01:40:47.973 --> 01:40:48.580] patient_3
[01:40:48.985 --> 01:40:51.027] patient_1
[01:41:06.873 --> 01:41:08.881] doctor
[01:41:24.997 --> 01:41:25.722] patient_2
[01:41:25.925 --> 01:41:31.325] patient_2
[01:41:31.527 --> 01:41:32.168] patient_1
[01:41:32.118 --> 01:41:32.489] patient_2
[01:41:46.985 --> 01:41:48.571] patient_3
[01:43:04.508 --> 01:43:05.707] patient_3
[01:43:05.774 --> 01:43:16.102] patient_3
[01:43:16.928 --> 01:43:17.772] patient_3
[01:43:52.568 --> 01:43:53.075] doctor
[01:43:53.885 --> 01:43:55.032] doctor
[01:45:37.139 --> 01:45:38.557] doctor
[01:45:51.972 --> 01:45:52.394] doctor
[01:45:53.727 --> 01:45:58.672] doctor
[01:46:03.599 --> 01:46:04.055] doctor
[01:46:05.978 --> 01:46:07.008] doctor
[01:46:06.113 --> 01:46:06.822] patient_1
[01:46:08.155 --> 01:46:10.315] doctor
[01:46:10.484 --> 01:46:13.032] doctor
[01:46:14.315 --> 01:46:18.989] doctor
[01:46:19.377 --> 01:46:20.339] doctor
[01:46:21.250 --> 01:46:22.313] doctor
[01:46:22.381 --> 01:46:26.228] doctor
[01:46:23.630 --> 01:46:25.840] patient_1
[01:46:26.532 --> 01:46:32.168] doctor
[01:46:32.843 --> 01:46:33.822] doctor
[01:46:35.493 --> 01:46:36.792] doctor
[01:46:37.602 --> 01:46:39.560] doctor
[01:46:40.437 --> 01:46:48.166] doctor
[01:46:41.888 --> 01:46:42.563] patient_1
[01:46:43.407 --> 01:46:43.964] patient_1
[01:46:48.554 --> 01:46:51.068] doctor
[01:46:49.752 --> 01:46:50.140] patient_1
[01:46:51.220 --> 01:46:51.676] doctor
[01:46:52.435 --> 01:46:54.967] doctor
[01:46:55.034 --> 01:47:00.282] doctor
[01:47:00.603 --> 01:47:04.298] doctor
[01:47:04.366 --> 01:47:07.876] doctor
