================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۱_۱۴۳۱۰۹.wav
Total Speakers: 7 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5, patient_6)
Total Turns   : 1735
================================================================================

[01:30:15.488 --> 01:30:16.180] patient_1
[01:30:24.230 --> 01:30:24.601] patient_1
[01:30:25.850 --> 01:30:26.609] patient_1
[01:30:28.111 --> 01:30:29.984] patient_1
[01:30:30.963 --> 01:30:35.401] doctor
[01:30:32.262 --> 01:30:32.954] patient_1
[01:30:36.143 --> 01:31:08.189] doctor
[01:30:37.477 --> 01:30:39.569] patient_1
[01:30:57.423 --> 01:30:57.828] patient_1
[01:31:08.392 --> 01:31:21.892] doctor
[01:31:09.269 --> 01:31:09.843] patient_1
[01:31:12.188 --> 01:31:14.500] patient_1
[01:31:15.665 --> 01:31:16.728] patient_1
[01:31:23.090 --> 01:31:52.148] doctor
[01:31:25.081 --> 01:31:25.638] patient_1
[01:31:29.958 --> 01:31:30.464] patient_1
[01:31:40.606 --> 01:31:41.602] patient_1
[01:31:54.157 --> 01:32:08.585] doctor
[01:32:08.753 --> 01:32:09.412] doctor
[01:32:10.255 --> 01:32:18.760] doctor
[01:32:11.032 --> 01:32:11.420] patient_1
[01:32:18.963 --> 01:32:20.549] doctor
[01:32:21.646 --> 01:33:09.301] doctor
[01:32:33.003 --> 01:32:33.830] patient_1
[01:32:48.157 --> 01:32:48.562] patient_1
[01:32:51.532 --> 01:32:51.903] patient_1
[01:32:53.911 --> 01:32:54.434] patient_1
[01:36:16.610 --> 01:36:19.782] patient_1
[01:36:20.255 --> 01:36:21.284] doctor
[01:36:22.499 --> 01:36:25.250] doctor
[01:36:25.857 --> 01:36:28.102] doctor
[01:41:39.442 --> 01:41:39.880] patient_1
[01:41:41.399 --> 01:41:43.424] patient_1
[01:41:44.538 --> 01:41:45.247] patient_1
[01:41:46.208 --> 01:41:46.867] patient_1
[01:41:47.137 --> 01:41:49.111] patient_1
[01:42:30.742 --> 01:42:32.918] patient_1
[01:42:34.825 --> 01:42:39.567] patient_1
[01:42:41.693 --> 01:42:44.984] patient_1
[01:42:45.473 --> 01:42:56.088] patient_1
[01:42:47.397 --> 01:42:47.819] doctor
[01:42:56.273 --> 01:42:57.623] patient_1
[01:43:05.032 --> 01:43:06.618] doctor
[01:43:12.338 --> 01:43:14.549] doctor
[01:43:14.735 --> 01:43:16.135] patient_1
[01:43:16.135 --> 01:43:20.911] doctor
[01:43:29.112 --> 01:43:30.293] doctor
[01:43:32.403 --> 01:43:33.145] doctor
[01:43:52.349 --> 01:43:55.977] doctor
[01:43:55.977 --> 01:43:56.973] patient_1
[01:43:57.985 --> 01:43:58.475] patient_1
[01:43:58.559 --> 01:44:08.566] patient_1
[01:44:08.937 --> 01:44:14.135] patient_1
[01:44:14.557 --> 01:44:22.032] patient_1
[01:44:22.994 --> 01:44:23.669] patient_1
[01:44:24.158 --> 01:44:25.998] patient_1
[01:44:27.567 --> 01:44:28.833] patient_1
[01:44:30.942 --> 01:44:39.616] patient_1
[01:44:38.772 --> 01:44:39.127] doctor
[01:44:42.130 --> 01:44:43.244] patient_1
[01:49:15.417 --> 01:49:18.100] patient_2
[01:49:19.012 --> 01:49:19.535] patient_2
[01:49:19.973 --> 01:49:22.083] patient_3
[01:49:22.201 --> 01:49:25.222] patient_3
[01:49:25.306 --> 01:49:28.512] patient_3
[01:49:29.255 --> 01:49:32.090] patient_3
[01:49:32.410 --> 01:49:37.777] patient_3
[01:49:38.958 --> 01:49:42.164] doctor
[01:49:42.350 --> 01:49:43.531] patient_3
[01:49:43.531 --> 01:49:44.577] patient_1
[01:49:46.552 --> 01:49:55.968] patient_1
[01:49:49.403 --> 01:49:49.859] patient_3
[01:49:55.968 --> 01:49:57.757] doctor
[01:50:00.031 --> 01:50:13.295] doctor
[01:50:13.396 --> 01:50:30.322] doctor
[01:50:15.742 --> 01:50:16.349] patient_1
[01:50:31.688 --> 01:50:51.787] doctor
[01:50:52.175 --> 01:50:56.140] doctor
[01:50:52.259 --> 01:50:53.322] patient_1
[01:50:56.528 --> 01:50:58.368] doctor
[01:50:56.680 --> 01:50:57.153] patient_1
[01:50:58.604 --> 01:51:02.452] doctor
[01:51:03.599 --> 01:51:06.417] doctor
[01:51:07.919 --> 01:51:13.370] doctor
[01:51:07.970 --> 01:51:08.358] patient_1
[01:51:13.808 --> 01:51:54.123] doctor
[01:51:37.619 --> 01:51:38.378] patient_1
[01:51:44.065 --> 01:51:44.504] patient_1
[01:51:54.393 --> 01:52:32.058] doctor
[01:51:57.329 --> 01:51:57.970] patient_1
[01:52:05.024 --> 01:52:05.648] patient_1
[01:52:06.492 --> 01:52:07.640] patient_1
[01:52:11.825 --> 01:52:12.837] patient_1
[01:52:15.318 --> 01:52:15.689] patient_1
[01:52:20.887 --> 01:52:22.220] patient_1
[01:52:28.531 --> 01:52:29.003] patient_1
[01:52:33.239 --> 01:52:36.732] doctor
[01:52:46.739 --> 01:52:47.414] doctor
[01:52:48.106 --> 01:52:55.987] doctor
[01:52:57.927 --> 01:52:59.615] doctor
[01:53:00.593 --> 01:53:03.327] doctor
[01:53:03.968 --> 01:53:06.162] doctor
[01:53:07.748 --> 01:53:08.609] doctor
[01:53:15.528 --> 01:53:16.844] doctor
[01:53:17.317 --> 01:53:17.958] doctor
[01:53:18.413 --> 01:53:18.920] doctor
[01:53:19.223 --> 01:53:20.708] doctor
[01:53:22.598 --> 01:53:23.442] doctor
[01:53:24.083 --> 01:53:25.906] doctor
[01:53:31.610 --> 01:53:34.478] doctor
[01:53:39.119 --> 01:53:39.862] doctor
[01:53:42.697 --> 01:53:43.372] doctor
[01:53:44.992 --> 01:53:45.869] doctor
[01:53:46.139 --> 01:53:47.067] doctor
[01:53:47.388 --> 01:53:48.080] doctor
[01:53:48.873 --> 01:53:49.801] doctor
[01:53:51.775 --> 01:53:54.661] doctor
[01:53:54.931 --> 01:53:57.496] doctor
[01:53:58.070 --> 01:54:05.815] doctor
[01:54:06.862 --> 01:54:09.916] doctor
[01:54:10.439 --> 01:54:16.025] doctor
[01:54:16.582 --> 01:54:18.033] doctor
[01:54:20.159 --> 01:54:21.948] doctor
[01:54:22.336 --> 01:54:23.956] doctor
[01:54:28.630 --> 01:54:31.820] doctor
[01:54:31.972 --> 01:54:41.152] doctor
[01:54:41.405 --> 01:54:44.037] doctor
[01:54:45.505 --> 01:54:46.855] doctor
[01:54:47.952 --> 01:54:57.976] doctor
[01:54:59.410 --> 01:54:59.967] doctor
[01:54:59.613 --> 01:54:59.967] patient_1
[01:55:00.031 --> 01:55:05.566] doctor
[01:55:06.798 --> 01:55:11.995] doctor
[01:55:12.316 --> 01:55:13.852] patient_1
[01:55:13.902 --> 01:55:15.320] doctor
[01:55:18.948 --> 01:55:19.724] doctor
[01:55:20.635 --> 01:55:28.820] doctor
[01:55:28.904 --> 01:55:31.250] patient_1
[01:55:32.903 --> 01:55:34.810] doctor
[01:55:49.340 --> 01:55:50.605] doctor
[01:55:51.044 --> 01:55:51.989] patient_1
[01:55:52.107 --> 01:55:52.597] doctor
[01:56:01.895 --> 01:56:03.177] patient_1
[01:56:03.177 --> 01:56:08.037] doctor
[01:56:13.032 --> 01:56:17.437] doctor
[01:56:20.423 --> 01:56:21.082] doctor
[01:56:21.419 --> 01:56:22.313] doctor
[01:56:22.617 --> 01:56:23.174] doctor
[01:56:23.174 --> 01:56:25.300] patient_1
[01:56:25.300 --> 01:56:26.077] doctor
[01:56:25.655 --> 01:56:27.055] patient_1
[01:56:27.342 --> 01:56:28.642] doctor
[01:56:27.359 --> 01:56:28.777] patient_1
[01:56:28.996 --> 01:56:31.004] doctor
[01:56:29.637 --> 01:56:31.072] patient_1
[01:56:31.072 --> 01:56:33.299] doctor
[01:56:32.422 --> 01:56:33.451] patient_1
[01:56:33.637 --> 01:56:36.910] patient_1
[01:56:36.910 --> 01:56:40.403] doctor
[01:56:40.268 --> 01:56:43.120] patient_1
[01:56:43.238 --> 01:56:44.183] doctor
[01:56:43.778 --> 01:56:46.613] patient_1
[01:56:46.613 --> 01:56:47.221] doctor
[01:56:47.913 --> 01:56:48.453] doctor
[01:56:48.031 --> 01:56:53.414] patient_1
[01:56:50.714 --> 01:56:52.756] doctor
[01:56:55.878 --> 01:56:58.274] patient_1
[01:57:02.358 --> 01:57:04.298] patient_1
[01:57:05.986 --> 01:57:07.117] patient_1
[01:57:10.728 --> 01:57:12.922] patient_1
[01:57:25.645 --> 01:57:26.118] patient_1
[01:57:26.557 --> 01:57:27.687] patient_1
[01:57:30.843 --> 01:57:31.923] doctor
[01:57:32.378 --> 01:57:34.606] doctor
[01:57:35.332 --> 01:57:37.643] doctor
[01:57:38.167 --> 01:57:39.533] doctor
[01:57:40.377 --> 01:57:43.398] doctor
[01:57:43.398 --> 01:57:46.553] patient_1
[01:57:43.735 --> 01:57:45.997] doctor
[01:57:46.553 --> 01:57:47.397] doctor
[01:57:46.587 --> 01:57:48.072] patient_1
[01:57:49.338 --> 01:57:51.397] doctor
[01:57:49.355 --> 01:57:50.013] patient_1
[01:57:50.823 --> 01:57:52.088] patient_1
[01:57:51.565 --> 01:57:54.603] doctor
[01:57:54.502 --> 01:57:54.974] patient_1
[01:57:54.974 --> 01:57:56.408] doctor
[01:57:56.527 --> 01:58:02.197] doctor
[01:57:58.855 --> 01:57:59.969] patient_1
[01:58:01.707 --> 01:58:08.592] patient_1
[01:58:03.023 --> 01:58:04.373] doctor
[01:58:05.437 --> 01:58:08.677] doctor
[01:58:08.812 --> 01:58:12.642] patient_1
[01:58:12.811 --> 01:58:23.594] doctor
[01:58:24.607 --> 01:58:25.298] doctor
[01:58:25.535 --> 01:58:29.213] patient_1
[01:58:27.712 --> 01:58:30.479] doctor
[01:58:30.547 --> 01:58:34.057] patient_1
[01:58:31.306 --> 01:58:32.538] doctor
[01:58:34.748 --> 01:58:36.014] patient_1
[01:58:36.655 --> 01:58:40.132] patient_1
[01:58:37.364 --> 01:58:41.043] doctor
[01:58:40.537 --> 01:58:44.519] patient_1
[01:58:42.511 --> 01:58:44.587] doctor
[01:58:44.587 --> 01:58:45.025] patient_1
[01:58:45.228 --> 01:58:46.207] patient_1
[01:58:46.763 --> 01:58:47.692] patient_1
[01:58:47.928 --> 01:58:48.299] patient_1
[01:58:48.822 --> 01:58:51.893] patient_1
[01:58:50.341 --> 01:58:51.286] doctor
[01:58:51.893 --> 01:58:54.830] doctor
[01:58:53.986 --> 01:58:54.543] patient_1
[01:58:54.644 --> 01:58:55.707] patient_1
[01:58:56.146 --> 01:58:57.209] patient_1
[01:58:58.103 --> 01:58:58.880] patient_1
[01:58:59.572 --> 01:59:01.259] patient_1
[01:58:59.926 --> 01:59:00.517] doctor
[01:59:01.597 --> 01:59:05.056] doctor
[01:59:02.002 --> 01:59:02.677] patient_1
[01:59:04.415 --> 01:59:05.950] patient_1
[01:59:06.119 --> 01:59:09.680] doctor
[01:59:08.262 --> 01:59:09.646] patient_1
[01:59:09.680 --> 01:59:15.383] patient_1
[01:59:15.097 --> 01:59:17.932] doctor
[01:59:21.256 --> 01:59:23.028] patient_1
[01:59:24.395 --> 01:59:26.453] doctor
[01:59:28.124 --> 01:59:29.238] doctor
[02:01:41.956 --> 02:01:43.019] doctor
[02:01:44.099 --> 02:01:46.040] doctor
[02:01:48.217 --> 02:01:49.027] doctor
[02:03:37.972 --> 02:03:39.507] patient_1
[02:03:39.963 --> 02:03:41.988] patient_1
[02:04:09.815 --> 02:04:10.321] patient_3
[02:04:15.063 --> 02:04:18.252] patient_2
[02:04:23.990 --> 02:04:26.285] patient_2
[02:04:30.942 --> 02:04:37.034] patient_4
