================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۱۰_۱۳۰۰۰۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 1241
================================================================================

[00:23:11.967 --> 00:23:22.514] patient_4
[00:23:22.514 --> 00:23:29.568] patient_2
[00:23:36.976 --> 00:23:45.177] patient_4
[00:23:46.038 --> 00:23:49.092] patient_4
[00:23:46.342 --> 00:23:47.557] doctor
[00:23:49.396 --> 00:23:55.657] patient_4
[00:23:55.960 --> 00:24:05.528] patient_4
[00:24:05.545 --> 00:24:12.295] patient_4
[00:24:12.970 --> 00:24:13.561] patient_4
[00:24:13.865 --> 00:24:15.029] patient_4
[00:24:15.282 --> 00:24:16.784] patient_4
[00:24:35.583 --> 00:24:36.950] doctor
[00:24:49.302 --> 00:24:51.142] patient_4
[00:25:00.436 --> 00:25:01.027] doctor
[00:25:01.043 --> 00:25:02.005] doctor
[00:36:49.820 --> 00:36:50.849] doctor
[00:36:50.866 --> 00:36:51.912] doctor
[00:36:52.705 --> 00:36:53.532] doctor
[00:49:34.081 --> 00:49:35.532] patient_2
[00:49:35.633 --> 00:49:37.203] patient_1
[00:49:36.545 --> 00:49:38.738] patient_2
[00:49:38.755 --> 00:49:40.679] patient_1
[00:49:40.865 --> 00:49:42.113] patient_2
[00:49:42.113 --> 00:49:43.109] patient_1
[00:49:43.362 --> 00:49:43.936] patient_2
[00:49:43.902 --> 00:49:44.678] patient_1
[00:49:54.972 --> 00:49:56.305] doctor
[00:49:56.710 --> 00:49:57.976] patient_1
[00:49:57.976 --> 00:49:58.381] doctor
[00:50:18.965 --> 00:50:20.028] patient_2
[00:50:20.973 --> 00:50:21.800] patient_2
[00:50:24.061 --> 00:50:25.073] patient_2
[00:50:41.830 --> 00:50:46.808] patient_1
[00:50:46.488 --> 00:50:51.230] patient_2
[00:50:49.728 --> 00:50:54.132] doctor
[00:50:56.917 --> 00:50:58.655] doctor
[00:51:16.255 --> 00:51:17.926] patient_1
[00:51:18.179 --> 00:51:19.023] patient_1
[00:51:20.170 --> 00:51:22.516] patient_1
[00:51:25.807 --> 00:51:26.347] patient_2
[00:51:26.617 --> 00:51:28.017] patient_1
[00:51:29.131 --> 00:51:30.025] patient_2
[00:51:30.515 --> 00:51:31.072] patient_1
[01:01:45.753 --> 01:01:46.512] patient_2
[01:01:50.039 --> 01:01:50.798] patient_2
[01:02:22.017 --> 01:02:22.608] doctor
[01:02:26.320 --> 01:02:27.333] doctor
[01:02:27.569 --> 01:02:28.025] doctor
[01:02:29.560 --> 01:02:32.024] patient_1
[01:04:34.874 --> 01:04:38.890] patient_3
[01:04:40.257 --> 01:04:41.270] patient_3
[01:04:42.772 --> 01:04:43.683] patient_2
[01:04:45.556 --> 01:04:46.889] patient_2
[01:04:47.497 --> 01:04:48.475] patient_2
[01:19:04.972 --> 01:19:06.035] doctor
[01:19:07.503 --> 01:19:08.549] doctor
[01:19:09.798 --> 01:19:15.029] doctor
[01:34:53.808 --> 01:34:54.719] doctor
[01:36:19.141 --> 01:36:20.727] doctor
[01:36:21.048 --> 01:36:22.263] patient_1
[01:36:23.427 --> 01:36:23.883] doctor
[01:36:26.684 --> 01:36:27.578] doctor
[01:36:30.852 --> 01:36:31.763] patient_1
[01:36:35.746 --> 01:36:36.134] patient_1
[01:38:18.852 --> 01:38:19.797] doctor
[01:38:21.029 --> 01:38:25.214] doctor
[01:38:26.665 --> 01:38:32.133] doctor
[01:38:32.335 --> 01:38:36.200] patient_1
[01:38:34.613 --> 01:38:43.523] doctor
[01:38:38.005 --> 01:38:38.360] patient_1
[01:38:38.663 --> 01:38:39.743] patient_1
[01:38:44.975 --> 01:38:45.329] doctor
[01:38:46.662 --> 01:38:49.312] doctor
[01:38:52.805 --> 01:38:53.632] patient_1
[01:38:54.070 --> 01:38:55.049] doctor
[01:39:03.149 --> 01:39:04.195] doctor
[01:39:06.136 --> 01:39:07.148] doctor
[01:39:06.322 --> 01:39:18.269] patient_1
[01:39:18.978 --> 01:39:24.952] patient_1
[01:39:30.655 --> 01:39:34.705] patient_1
[01:39:34.908 --> 01:39:35.431] doctor
[01:39:35.431 --> 01:39:36.494] patient_1
[01:39:38.013 --> 01:39:38.857] patient_1
[01:39:39.565 --> 01:39:42.147] patient_1
[01:39:44.358 --> 01:39:47.868] doctor
[01:39:47.868 --> 01:39:52.087] patient_1
[01:39:49.758 --> 01:39:50.602] doctor
[01:39:52.070 --> 01:39:53.420] doctor
[01:39:54.567 --> 01:39:59.967] doctor
[01:39:57.048 --> 01:39:59.798] patient_1
[01:40:00.925 --> 01:40:04.064] patient_2
[01:40:04.975 --> 01:40:10.578] patient_2
[01:40:11.455 --> 01:40:12.012] patient_2
[01:40:13.210 --> 01:40:17.108] patient_2
[01:40:16.147 --> 01:40:21.243] doctor
[01:40:18.475 --> 01:40:19.049] patient_1
[01:40:22.475 --> 01:40:24.179] doctor
[01:40:24.398 --> 01:40:25.057] doctor
[01:40:25.057 --> 01:40:27.166] patient_2
[01:40:26.525 --> 01:40:27.352] doctor
[01:40:27.352 --> 01:40:31.115] patient_2
[01:40:35.249 --> 01:40:41.037] patient_2
[01:40:39.586 --> 01:40:39.974] doctor
[01:40:45.138 --> 01:40:46.994] doctor
[01:40:46.522 --> 01:40:49.357] patient_2
[01:40:54.976 --> 01:40:56.039] patient_2
[01:43:40.925 --> 01:43:41.617] patient_1
[01:43:41.296 --> 01:43:44.452] patient_2
