================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۹۱۰_۱۶۰۰۰۰.wav
Total Speakers: 5 (doctor, patient_1, patient_2, patient_3, patient_4)
Total Turns   : 2668
================================================================================

[01:34:54.702 --> 01:34:57.554] patient_3
[01:34:54.753 --> 01:34:55.917] patient_1
[01:34:58.027 --> 01:34:59.967] patient_3
[01:35:00.031 --> 01:35:01.415] doctor
[01:35:02.258 --> 01:35:12.552] doctor
[01:35:02.292 --> 01:35:02.984] patient_1
[01:35:13.025 --> 01:35:22.998] doctor
[01:35:23.808 --> 01:35:24.787] patient_1
[01:35:24.803 --> 01:35:35.198] patient_1
[01:35:27.655 --> 01:35:28.432] doctor
[01:35:35.384 --> 01:35:40.548] patient_1
[01:35:59.465 --> 01:36:02.992] patient_1
[01:36:03.717 --> 01:36:05.000] doctor
[01:36:04.578 --> 01:36:05.101] patient_1
[01:36:06.586 --> 01:36:07.582] patient_1
[01:36:08.105 --> 01:36:14.112] patient_1
[01:36:14.534 --> 01:36:15.547] patient_1
[01:36:16.087 --> 01:36:20.035] patient_1
[01:36:20.035 --> 01:36:26.684] doctor
[01:36:25.604 --> 01:36:26.414] patient_1
[01:36:27.562 --> 01:36:29.671] doctor
[01:36:27.663 --> 01:36:29.772] patient_1
[01:36:30.059 --> 01:36:34.312] patient_1
[01:36:33.535 --> 01:36:37.147] doctor
[01:36:36.252 --> 01:36:37.113] patient_1
[01:36:37.147 --> 01:36:39.256] patient_1
[01:36:38.682 --> 01:36:39.239] doctor
[01:36:39.391 --> 01:36:40.673] patient_1
[01:36:42.682 --> 01:36:44.588] patient_1
[01:36:45.010 --> 01:36:46.090] patient_1
[01:36:47.491 --> 01:36:51.187] patient_1
[01:36:51.423 --> 01:36:54.680] patient_1
[01:36:56.266 --> 01:37:11.048] patient_1
[01:36:58.578 --> 01:36:59.708] doctor
[01:37:11.150 --> 01:37:12.179] patient_1
[01:37:12.635 --> 01:37:17.157] patient_1
[01:37:18.018 --> 01:37:19.908] patient_1
[01:37:18.068 --> 01:37:24.430] doctor
[01:37:25.105 --> 01:37:26.236] patient_1
[01:37:25.493 --> 01:37:26.455] doctor
[01:37:29.577 --> 01:37:31.973] doctor
[01:37:31.973 --> 01:37:32.969] patient_1
[01:37:34.032 --> 01:37:35.078] doctor
[01:37:35.264 --> 01:37:36.496] patient_1
[01:37:36.766 --> 01:37:38.588] patient_1
[01:37:39.398 --> 01:37:45.085] patient_1
[01:37:45.608 --> 01:37:50.232] patient_1
[01:37:51.127 --> 01:37:55.565] patient_1
[01:37:56.273 --> 01:37:57.590] patient_1
[01:38:01.353 --> 01:38:02.939] patient_1
[01:38:06.888 --> 01:38:08.845] patient_1
[01:38:09.571 --> 01:38:10.904] patient_1
[01:38:37.162 --> 01:38:43.507] patient_1
[01:38:43.658 --> 01:38:44.654] patient_1
[01:38:45.397 --> 01:38:46.578] patient_1
[01:38:49.733 --> 01:38:53.108] patient_1
[01:38:53.176 --> 01:38:59.420] patient_1
[01:38:58.930 --> 01:38:59.386] doctor
[01:38:59.420 --> 01:39:01.799] doctor
[01:39:06.760 --> 01:39:08.802] patient_1
[01:39:08.110 --> 01:39:09.916] doctor
[01:39:26.943 --> 01:39:29.423] patient_1
[01:39:29.812 --> 01:39:49.133] patient_1
[01:39:37.642 --> 01:39:38.114] doctor
[01:39:49.943 --> 01:39:52.103] patient_1
[01:39:52.610 --> 01:39:55.512] patient_1
[01:39:53.470 --> 01:39:53.858] doctor
[01:39:54.888 --> 01:39:57.757] doctor
[01:39:59.292 --> 01:39:59.967] patient_1
[01:40:00.318 --> 01:40:04.520] doctor
[01:40:05.110 --> 01:40:07.878] doctor
[01:40:08.553 --> 01:40:13.902] doctor
[01:40:09.869 --> 01:40:13.126] patient_1
[01:40:14.172 --> 01:40:23.032] doctor
[01:40:16.872 --> 01:40:20.973] patient_1
[01:40:41.358 --> 01:40:52.276] doctor
[01:40:42.033 --> 01:40:45.526] patient_1
[01:40:52.951 --> 01:40:53.778] doctor
[01:40:57.187 --> 01:40:58.199] doctor
[01:40:57.271 --> 01:40:57.625] patient_1
[01:40:58.688 --> 01:41:00.292] patient_1
[01:41:00.342 --> 01:41:02.148] patient_1
[01:41:02.992 --> 01:41:03.818] patient_1
[01:41:04.190 --> 01:41:07.143] patient_1
[01:41:07.328 --> 01:41:11.800] patient_1
[01:41:12.121 --> 01:41:27.427] patient_1
[01:41:17.302 --> 01:41:17.656] doctor
[01:41:27.967 --> 01:41:32.101] patient_1
[01:41:32.219 --> 01:41:32.860] patient_1
[01:41:33.316 --> 01:41:40.876] patient_1
[01:41:41.028 --> 01:41:47.035] patient_1
[01:41:47.035 --> 01:41:51.608] doctor
[01:41:50.950 --> 01:41:55.574] patient_1
[01:41:54.933 --> 01:42:01.750] doctor
[01:41:56.097 --> 01:41:58.207] patient_1
[01:42:01.936 --> 01:42:04.012] doctor
[01:42:04.585 --> 01:42:05.463] patient_1
[01:42:05.007 --> 01:42:06.982] doctor
[01:42:06.813 --> 01:42:14.879] patient_1
[01:42:14.879 --> 01:42:16.583] doctor
[01:42:17.495 --> 01:42:17.950] doctor
[01:42:21.055 --> 01:42:23.114] patient_1
[01:42:30.050 --> 01:42:31.450] doctor
[01:42:31.957 --> 01:42:32.750] doctor
[01:42:37.508 --> 01:42:38.993] doctor
[01:42:41.710 --> 01:42:43.162] doctor
[01:42:48.815 --> 01:42:52.763] patient_1
[01:42:54.316 --> 01:42:55.261] doctor
[01:43:04.930 --> 01:43:05.757] doctor
[01:43:06.770 --> 01:43:11.107] doctor
[01:43:07.428 --> 01:43:08.322] patient_1
[01:43:12.136 --> 01:43:14.397] doctor
[01:43:15.393 --> 01:43:22.244] doctor
[01:43:22.514 --> 01:43:40.908] doctor
[01:43:27.526 --> 01:43:29.298] patient_1
[01:43:29.703 --> 01:43:30.918] patient_1
[01:43:36.065 --> 01:43:37.077] patient_1
[01:43:42.460 --> 01:43:45.650] doctor
[01:43:48.755 --> 01:43:52.197] doctor
[01:43:54.138 --> 01:43:55.302] doctor
[01:43:55.505 --> 01:43:59.858] doctor
[01:44:09.241 --> 01:44:18.117] doctor
[01:44:15.164 --> 01:44:15.670] patient_1
[01:44:18.877 --> 01:44:20.733] doctor
[01:44:21.661 --> 01:44:25.981] patient_1
[01:44:23.737 --> 01:44:32.495] doctor
[01:44:32.917 --> 01:44:37.034] doctor
[01:44:37.777 --> 01:44:43.312] doctor
[01:44:44.155 --> 01:44:47.345] doctor
[01:44:47.041 --> 01:44:49.960] patient_1
[01:44:49.657 --> 01:44:52.407] doctor
[01:44:52.677 --> 01:44:53.420] patient_1
[01:44:53.993 --> 01:44:55.057] doctor
[01:44:55.529 --> 01:44:56.828] patient_1
[01:44:57.132 --> 01:44:59.967] doctor
[01:45:00.031 --> 01:45:07.118] doctor
[01:45:01.027 --> 01:45:02.478] patient_1
[01:45:07.912 --> 01:45:23.352] doctor
[01:45:09.194 --> 01:45:10.207] patient_1
[01:45:11.287 --> 01:45:12.923] patient_1
[01:45:23.588 --> 01:45:27.453] doctor
[01:45:28.145 --> 01:45:37.679] doctor
[01:45:32.363 --> 01:45:32.752] patient_1
[01:45:37.966 --> 01:45:48.563] patient_1
[01:45:41.138 --> 01:45:42.640] doctor
[01:45:45.323 --> 01:45:47.095] doctor
[01:45:48.158 --> 01:45:52.748] doctor
[01:45:54.301 --> 01:46:05.202] doctor
[01:46:04.021 --> 01:46:04.612] patient_1
[01:46:05.422 --> 01:46:08.206] doctor
[01:46:07.261 --> 01:46:08.020] patient_1
[01:46:08.594 --> 01:46:11.716] doctor
[01:46:11.210 --> 01:46:13.910] patient_1
[01:46:14.213 --> 01:46:17.892] doctor
[01:46:14.281 --> 01:46:21.284] patient_1
[01:46:20.322 --> 01:46:20.795] doctor
[01:46:21.284 --> 01:46:21.925] doctor
[01:46:22.499 --> 01:46:24.035] patient_1
[01:46:24.237 --> 01:46:26.887] patient_1
[01:46:24.524 --> 01:46:28.000] doctor
[01:46:27.072 --> 01:46:27.680] patient_1
[01:46:28.726 --> 01:46:33.434] doctor
[01:46:33.974 --> 01:46:41.129] doctor
[01:46:36.657 --> 01:46:37.130] patient_1
[01:46:38.885 --> 01:46:39.442] patient_1
[01:46:41.888 --> 01:46:45.398] patient_1
[01:46:44.268 --> 01:46:46.478] doctor
[01:46:45.837 --> 01:46:47.980] patient_1
[01:46:48.672 --> 01:47:02.020] patient_1
