================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۹_۲۰۰۰۳۰.wav
Total Speakers: 6 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5)
Total Turns   : 1532
================================================================================

[00:42:58.973 --> 00:43:02.905] doctor
[00:43:03.057 --> 00:43:07.040] doctor
[00:43:07.597 --> 00:43:09.065] doctor
[00:43:09.503 --> 00:43:10.027] doctor
[00:43:10.567 --> 00:43:11.444] doctor
[00:43:12.507 --> 00:43:17.772] patient_1
[00:43:23.088 --> 00:43:24.067] doctor
[00:43:23.594 --> 00:43:30.682] patient_1
[00:43:25.653 --> 00:43:26.311] doctor
[00:43:31.019 --> 00:43:32.420] patient_1
[00:43:32.420 --> 00:43:34.411] doctor
[00:43:33.837 --> 00:43:35.677] patient_1
[00:43:35.677 --> 00:43:36.773] doctor
[00:43:36.622 --> 00:43:37.887] patient_1
[00:43:37.887 --> 00:43:38.427] doctor
[00:43:38.596 --> 00:43:39.035] patient_1
[00:43:39.035 --> 00:43:41.313] doctor
[00:43:39.592 --> 00:43:40.283] patient_1
[00:43:41.313 --> 00:43:43.523] patient_1
[00:43:41.768 --> 00:43:42.207] doctor
[00:43:43.557 --> 00:43:44.890] doctor
[00:43:44.890 --> 00:43:46.038] patient_1
[00:43:46.038 --> 00:43:46.544] doctor
[00:43:46.932 --> 00:43:49.025] patient_1
[00:43:47.843 --> 00:43:50.054] doctor
[00:43:49.936 --> 00:43:50.965] patient_1
[00:43:50.746 --> 00:43:53.227] doctor
[00:43:52.805 --> 00:43:54.070] patient_1
[00:43:54.458 --> 00:43:55.758] doctor
[00:43:55.842 --> 00:43:56.821] patient_1
[00:43:57.277 --> 00:43:58.778] patient_1
[00:44:00.517 --> 00:44:00.905] doctor
[00:44:02.896 --> 00:44:03.503] doctor
[00:44:04.027 --> 00:44:05.528] doctor
[00:44:05.596 --> 00:44:06.355] doctor
[00:44:07.182 --> 00:44:08.819] patient_1
[00:44:09.511 --> 00:44:11.148] patient_1
[00:44:16.582 --> 00:44:17.358] doctor
[00:44:22.943 --> 00:44:23.821] doctor
[00:44:24.614 --> 00:44:25.407] doctor
[00:44:31.128 --> 00:44:31.921] doctor
[00:44:34.840 --> 00:44:36.798] doctor
[00:44:38.384 --> 00:44:41.607] doctor
[00:44:41.658 --> 00:44:44.037] doctor
[00:44:44.932 --> 00:44:47.581] patient_1
[00:44:48.526 --> 00:44:51.715] patient_1
[00:44:51.547 --> 00:44:52.441] doctor
[00:44:54.331 --> 00:44:56.491] patient_1
[00:44:56.812 --> 00:44:58.229] doctor
[00:44:58.263 --> 00:44:59.056] patient_1
[00:44:59.478 --> 00:44:59.967] doctor
[00:45:00.655 --> 00:45:02.275] doctor
[00:45:02.613 --> 00:45:03.271] patient_2
[00:45:03.457 --> 00:45:04.030] doctor
[00:45:03.473 --> 00:45:03.912] patient_2
[00:45:04.030 --> 00:45:06.224] patient_2
[00:45:05.296 --> 00:45:05.785] doctor
[00:45:06.477 --> 00:45:07.557] doctor
[00:45:07.895 --> 00:45:09.160] patient_2
[00:45:11.135 --> 00:45:12.164] patient_2
[00:45:13.143 --> 00:45:15.809] patient_2
[00:45:19.673 --> 00:45:20.804] patient_1
[00:45:24.972 --> 00:45:27.942] patient_1
[00:45:25.242 --> 00:45:25.900] doctor
[00:45:28.263 --> 00:45:30.254] patient_1
[00:45:30.507 --> 00:45:33.022] patient_1
[00:45:34.220 --> 00:45:35.030] patient_1
[00:45:40.582 --> 00:45:42.100] patient_1
[00:45:43.906 --> 00:45:44.851] patient_1
[00:45:44.058 --> 00:45:44.648] patient_2
[00:45:57.322 --> 00:45:58.452] patient_1
[00:45:58.452 --> 00:46:01.439] doctor
[00:46:03.076 --> 00:46:04.510] doctor
[00:46:05.270 --> 00:46:05.860] patient_1
[00:46:05.860 --> 00:46:07.683] doctor
[00:46:06.890 --> 00:46:08.425] patient_1
[00:46:08.577 --> 00:46:09.623] doctor
[00:46:09.269 --> 00:46:10.737] patient_1
[00:46:11.108 --> 00:46:15.293] doctor
[00:46:11.800 --> 00:46:12.560] patient_2
[00:46:15.344 --> 00:46:25.621] patient_2
[00:46:17.943 --> 00:46:19.900] patient_1
[00:46:26.178 --> 00:46:26.650] patient_2
[00:46:27.123 --> 00:46:29.738] patient_2
[00:46:29.873 --> 00:46:31.055] patient_2
[00:46:29.924 --> 00:46:30.852] patient_1
[00:46:31.477 --> 00:46:34.092] patient_2
[00:46:34.244 --> 00:46:35.392] patient_2
[00:46:35.206 --> 00:46:37.282] doctor
[00:46:37.805 --> 00:46:38.446] patient_2
[00:46:38.446 --> 00:46:40.572] doctor
[00:46:41.062 --> 00:46:42.783] patient_2
[00:46:42.091 --> 00:46:43.694] doctor
[00:46:44.133 --> 00:46:47.913] patient_2
[00:46:54.781 --> 00:47:00.198] doctor
[00:47:00.485 --> 00:47:01.396] doctor
[00:47:02.003 --> 00:47:15.233] patient_2
[00:47:04.163 --> 00:47:04.636] doctor
[00:47:08.180 --> 00:47:08.585] patient_1
[00:47:13.073 --> 00:47:13.546] patient_1
[00:47:13.867 --> 00:47:15.217] patient_1
[00:47:15.976 --> 00:47:20.937] patient_1
[00:47:18.608 --> 00:47:19.115] patient_2
[00:47:20.667 --> 00:47:23.165] doctor
[00:47:22.996 --> 00:47:23.975] patient_1
[00:47:23.975 --> 00:47:25.038] patient_2
[00:47:24.700 --> 00:47:25.898] doctor
[00:47:26.388 --> 00:47:28.025] patient_2
[00:47:27.603 --> 00:47:30.590] doctor
[00:47:29.915 --> 00:47:30.877] patient_2
[00:47:31.130 --> 00:47:33.982] doctor
[00:47:33.526 --> 00:47:41.069] patient_2
[00:47:38.723 --> 00:47:39.972] doctor
[00:47:40.799 --> 00:47:43.465] doctor
[00:47:44.056 --> 00:47:48.055] patient_2
[00:47:45.068 --> 00:47:49.810] doctor
[00:47:49.709 --> 00:47:52.814] patient_1
[00:47:50.182 --> 00:47:55.210] doctor
[00:47:56.054 --> 00:47:58.282] patient_1
[00:47:58.282 --> 00:48:08.896] doctor
[00:47:59.159 --> 00:48:00.188] patient_1
[00:48:08.103 --> 00:48:12.406] patient_2
[00:48:10.398 --> 00:48:12.271] doctor
[00:48:12.406 --> 00:48:14.768] doctor
[00:48:13.739 --> 00:48:20.253] patient_2
[00:48:16.456 --> 00:48:17.063] doctor
[00:48:18.228 --> 00:48:18.683] doctor
[00:48:18.835 --> 00:48:21.468] doctor
[00:48:21.856 --> 00:48:24.944] patient_2
[00:48:22.025 --> 00:48:23.088] doctor
[00:48:23.408 --> 00:48:24.083] doctor
[00:48:24.944 --> 00:48:28.285] doctor
[00:48:26.227 --> 00:48:27.205] patient_2
[00:48:27.290 --> 00:48:28.960] patient_2
[00:48:29.973 --> 00:48:31.340] doctor
[00:48:32.015 --> 00:48:32.504] patient_1
[00:48:35.592 --> 00:48:36.959] doctor
[00:48:38.292 --> 00:48:39.490] doctor
[00:48:40.098 --> 00:48:40.739] patient_2
[00:48:41.026 --> 00:48:42.173] doctor
[00:48:42.629 --> 00:48:43.338] patient_2
[00:48:43.338 --> 00:48:44.131] doctor
[00:48:43.473 --> 00:48:43.878] patient_2
[00:48:44.570 --> 00:48:45.430] patient_2
[00:48:45.430 --> 00:48:47.405] doctor
[00:48:48.637 --> 00:48:50.088] doctor
[00:48:50.678 --> 00:48:54.914] doctor
[00:48:52.872 --> 00:48:53.513] patient_1
[00:48:55.235 --> 00:48:56.146] patient_1
[00:48:56.146 --> 00:48:56.956] doctor
[00:48:57.563 --> 00:49:00.398] doctor
[00:49:00.500 --> 00:49:06.862] patient_1
[00:49:02.272 --> 00:49:02.744] doctor
[00:49:04.786 --> 00:49:05.917] doctor
[00:49:06.625 --> 00:49:14.185] doctor
[00:49:09.308 --> 00:49:09.747] patient_1
[00:49:13.662 --> 00:49:18.421] patient_2
[00:49:17.830 --> 00:49:18.640] doctor
[00:49:19.282 --> 00:49:20.632] doctor
[00:49:20.024 --> 00:49:42.907] patient_2
[00:49:21.391 --> 00:49:21.762] doctor
[00:49:25.610 --> 00:49:26.757] doctor
[00:49:30.250 --> 00:49:30.605] patient_1
[00:49:43.008 --> 00:49:45.826] doctor
[00:49:43.970 --> 00:49:44.375] patient_2
[00:49:44.729 --> 00:49:49.302] patient_2
[00:49:46.045 --> 00:49:47.783] doctor
[00:49:48.847 --> 00:49:49.370] doctor
[00:49:49.775 --> 00:49:56.103] patient_2
[00:49:55.580 --> 00:49:57.520] doctor
[00:49:57.520 --> 00:49:59.967] patient_2
[00:49:58.533 --> 00:49:59.208] doctor
