================================================================================
SPEAKER DIARIZATION REPORT (WHO TALKED WHEN)
Source File   : Session_Full_۲۰۲۶۰۸۰۶_۲۰۰۰۰۰.wav
Total Speakers: 7 (doctor, patient_1, patient_2, patient_3, patient_4, patient_5, patient_6)
Total Turns   : 1442
================================================================================

[00:57:50.030 --> 00:57:51.042] patient_1
[00:57:52.105 --> 00:57:53.776] patient_1
[00:57:57.016 --> 00:58:01.825] doctor
[00:58:02.129 --> 00:58:04.795] doctor
[00:58:13.317 --> 00:58:15.022] doctor
[00:58:25.940 --> 00:58:26.497] doctor
[00:58:36.048 --> 00:58:36.892] doctor
[00:59:05.427 --> 00:59:06.338] doctor
[00:59:07.621 --> 00:59:08.313] doctor
[00:59:21.745 --> 00:59:23.264] doctor
[00:59:26.977 --> 00:59:29.390] doctor
[00:59:30.368 --> 00:59:31.465] doctor
[00:59:32.258 --> 00:59:33.524] doctor
[00:59:34.790 --> 00:59:35.633] doctor
[00:59:36.477 --> 00:59:43.058] doctor
[00:59:36.494 --> 00:59:36.848] patient_1
[00:59:43.683 --> 00:59:44.510] doctor
[00:59:48.323 --> 00:59:49.758] doctor
[00:59:51.901 --> 00:59:53.605] doctor
[00:59:54.382 --> 00:59:56.643] doctor
[00:59:56.795 --> 00:59:59.967] doctor
[01:00:00.031 --> 01:00:00.790] doctor
[01:00:00.031 --> 01:00:07.895] patient_1
[01:00:06.595 --> 01:00:07.793] doctor
[01:00:08.873 --> 01:00:10.831] patient_1
[01:00:11.033 --> 01:00:13.278] patient_1
[01:00:15.893 --> 01:00:17.986] patient_1
[01:00:19.825 --> 01:00:24.314] patient_1
[01:00:25.833 --> 01:00:31.874] patient_1
[01:00:27.436 --> 01:00:29.630] doctor
[01:00:32.735 --> 01:00:34.996] patient_1
[01:00:36.430 --> 01:00:38.472] patient_1
[01:00:39.012 --> 01:00:40.278] patient_1
[01:00:39.502 --> 01:00:39.974] doctor
[01:00:41.122 --> 01:00:44.125] patient_1
[01:00:42.505 --> 01:00:43.518] doctor
[01:00:47.905 --> 01:00:49.154] patient_1
[01:00:49.222 --> 01:00:51.382] patient_1
[01:00:52.107 --> 01:00:58.030] patient_1
[01:00:58.537 --> 01:01:00.578] patient_1
[01:01:01.220 --> 01:01:04.358] patient_1
[01:01:01.777 --> 01:01:02.367] doctor
[01:01:05.135 --> 01:01:05.506] patient_1
[01:01:06.367 --> 01:01:10.366] patient_1
[01:01:10.990 --> 01:01:21.571] patient_1
[01:01:25.250 --> 01:01:26.887] patient_1
[01:01:29.131 --> 01:01:30.582] patient_1
[01:01:40.640 --> 01:02:06.610] patient_1
[01:01:42.395 --> 01:01:43.559] doctor
[01:01:49.347 --> 01:01:50.393] doctor
[01:01:55.270 --> 01:01:56.435] doctor
[01:01:58.088 --> 01:01:58.510] doctor
[01:02:02.122 --> 01:02:03.083] doctor
[01:02:04.282 --> 01:02:06.070] doctor
[01:02:06.813 --> 01:02:10.559] patient_1
[01:02:11.082 --> 01:02:12.078] patient_1
[01:02:12.213 --> 01:02:13.090] patient_1
[01:02:18.187 --> 01:02:21.511] doctor
[01:02:22.405 --> 01:03:41.397] doctor
[01:02:50.266 --> 01:02:50.890] patient_1
[01:03:42.308 --> 01:04:07.469] doctor
[01:03:42.983 --> 01:03:43.422] patient_1
[01:04:06.693 --> 01:04:09.224] patient_1
[01:04:10.017 --> 01:04:10.507] patient_1
[01:04:10.507 --> 01:04:10.962] doctor
[01:04:11.030 --> 01:04:11.975] doctor
[01:04:11.975 --> 01:04:12.869] patient_1
[01:04:13.190 --> 01:04:17.712] patient_1
[01:04:15.502 --> 01:04:16.480] doctor
[01:04:18.185 --> 01:04:21.863] patient_1
[01:04:20.918 --> 01:04:21.340] doctor
[01:04:21.914 --> 01:04:26.217] patient_1
[01:04:26.285 --> 01:04:27.635] patient_1
[01:04:28.478 --> 01:04:38.738] patient_1
[01:04:34.655 --> 01:04:35.262] doctor
[01:04:38.890 --> 01:04:42.485] patient_1
[01:04:43.278 --> 01:04:47.902] patient_1
[01:04:55.782 --> 01:04:59.967] patient_1
[01:05:00.031 --> 01:05:00.622] patient_2
[01:05:10.004 --> 01:05:10.780] patient_2
[01:05:12.265 --> 01:05:16.687] patient_2
[01:05:17.547 --> 01:05:18.155] patient_2
[01:05:20.500 --> 01:05:21.968] patient_2
[01:05:22.036 --> 01:05:22.829] patient_2
[01:05:23.656 --> 01:05:25.073] patient_2
[01:05:25.411 --> 01:05:30.052] patient_2
[01:05:28.280 --> 01:05:29.073] patient_1
[01:05:30.608 --> 01:05:31.334] patient_2
[01:05:31.334 --> 01:05:33.123] patient_1
[01:05:35.536 --> 01:05:37.038] patient_2
[01:05:37.460 --> 01:05:38.489] patient_1
[01:05:39.299 --> 01:05:40.936] patient_1
[01:05:43.805 --> 01:05:47.568] patient_1
[01:05:43.957 --> 01:05:46.032] patient_2
[01:05:47.129 --> 01:05:48.800] patient_2
[01:05:48.175 --> 01:05:49.812] patient_1
[01:05:50.032 --> 01:05:50.386] patient_1
[01:05:51.213 --> 01:05:52.175] patient_2
[01:05:53.356 --> 01:05:53.710] patient_2
[01:05:56.410 --> 01:05:59.279] patient_2
[01:05:59.313 --> 01:05:59.920] patient_2
[01:06:00.123 --> 01:06:03.650] patient_2
[01:06:04.004 --> 01:06:20.086] patient_2
[01:06:17.605 --> 01:06:18.230] doctor
[01:06:20.086 --> 01:06:21.217] doctor
[01:06:20.778 --> 01:06:28.118] patient_2
[01:06:27.224 --> 01:06:30.228] patient_1
[01:06:28.810 --> 01:06:41.028] patient_2
[01:06:41.517 --> 01:06:41.990] doctor
[01:06:42.057 --> 01:06:42.513] patient_2
[01:06:43.103 --> 01:06:45.550] doctor
[01:06:45.652 --> 01:06:49.735] patient_2
[01:06:50.309 --> 01:06:52.317] patient_2
[01:06:52.334 --> 01:06:58.358] patient_1
[01:06:56.215 --> 01:06:56.722] patient_2
[01:07:06.931 --> 01:07:10.120] patient_1
[01:07:10.238 --> 01:07:10.863] patient_2
[01:07:11.656 --> 01:07:13.242] patient_2
[01:07:14.035 --> 01:07:15.436] patient_2
[01:07:16.617 --> 01:07:20.718] patient_2
[01:07:21.342 --> 01:07:27.417] patient_2
[01:07:27.417 --> 01:07:27.856] patient_1
[01:07:44.528 --> 01:07:47.026] patient_1
[01:07:55.953 --> 01:09:01.698] patient_1
[01:09:20.969 --> 01:09:21.796] doctor
[01:09:22.943 --> 01:09:33.322] doctor
[01:09:35.212 --> 01:09:41.438] doctor
[01:09:43.109 --> 01:09:52.762] doctor
[01:09:54.010 --> 01:09:59.967] doctor
[01:10:00.031 --> 01:10:01.027] patient_2
[01:10:04.942 --> 01:10:05.785] patient_2
[01:10:05.785 --> 01:10:07.338] patient_1
[01:10:07.945 --> 01:10:24.567] patient_1
[01:10:24.803 --> 01:10:26.035] patient_1
[01:10:26.170 --> 01:10:31.958] patient_1
[01:10:32.127 --> 01:10:35.013] patient_1
[01:10:35.418 --> 01:10:36.278] patient_1
[01:10:37.105 --> 01:10:51.162] patient_1
[01:10:42.657 --> 01:10:43.282] doctor
[01:10:51.938 --> 01:10:54.250] patient_2
[01:11:58.747 --> 01:11:59.354] doctor
[01:12:00.974 --> 01:12:06.307] doctor
[01:12:06.728 --> 01:12:09.749] doctor
[01:12:09.749 --> 01:12:10.542] patient_2
[01:12:10.643 --> 01:12:14.069] doctor
[01:12:14.626 --> 01:12:15.132] doctor
[01:12:15.335 --> 01:12:16.499] patient_2
[01:12:20.583 --> 01:12:23.080] patient_2
[01:12:23.502 --> 01:12:28.278] patient_2
[01:12:28.902 --> 01:12:32.277] patient_2
[01:12:33.526 --> 01:12:35.568] patient_2
[01:12:36.496 --> 01:12:38.217] patient_2
[01:12:38.858 --> 01:12:40.242] patient_2
[01:12:40.850 --> 01:12:41.255] patient_2
[01:12:56.813 --> 01:13:00.745] patient_2
[01:13:01.201 --> 01:13:04.576] patient_2
[01:13:05.588 --> 01:13:07.968] patient_2
[01:13:23.206 --> 01:13:23.577] patient_2
[01:13:44.468 --> 01:13:48.181] doctor
[01:13:48.974 --> 01:14:26.538] doctor
[01:14:18.877 --> 01:14:19.653] patient_1
[01:14:29.963 --> 01:14:31.280] doctor
[01:14:34.958 --> 01:14:35.549] doctor
[01:14:36.798 --> 01:14:38.165] doctor
[01:14:39.481 --> 01:14:40.797] doctor
[01:14:41.152 --> 01:14:41.641] doctor
[01:14:45.286 --> 01:14:59.967] doctor
[01:15:00.031 --> 01:15:12.856] doctor
[01:15:13.632 --> 01:15:21.732] doctor
[01:16:37.349 --> 01:16:38.024] patient_2
[01:16:38.210 --> 01:16:39.762] patient_2
[01:16:40.319 --> 01:16:43.677] patient_2
[01:17:13.512 --> 01:17:14.440] patient_3
[01:17:17.967 --> 01:17:18.980] patient_3
[01:17:24.970 --> 01:17:26.253] patient_1
[01:17:26.590 --> 01:17:27.097] patient_1
[01:17:27.535 --> 01:17:32.952] patient_1
[01:21:19.968 --> 01:21:20.525] patient_2
[01:21:23.663 --> 01:21:24.288] patient_2
[01:21:25.857 --> 01:21:29.080] patient_2
[01:21:30.295 --> 01:21:32.185] patient_2
[01:21:33.772 --> 01:21:37.703] doctor
[01:21:36.927 --> 01:21:42.462] patient_1
[01:21:42.833 --> 01:21:43.812] patient_1
[01:22:54.586 --> 01:22:55.075] patient_3
[01:22:57.505 --> 01:22:58.028] patient_3
[01:22:58.045 --> 01:22:58.788] patient_3
[01:23:00.003 --> 01:23:01.370] patient_3
[01:23:08.660 --> 01:23:09.031] patient_3
[01:23:10.010 --> 01:23:10.550] patient_3
[01:24:10.625 --> 01:24:11.030] patient_3
[01:24:14.422 --> 01:24:15.029] patient_3
[01:24:24.968 --> 01:24:25.492] patient_3
[01:24:34.722 --> 01:24:37.220] patient_3
[01:24:38.131 --> 01:24:41.354] patient_3
[01:24:41.590 --> 01:24:43.750] patient_3
[01:24:44.712 --> 01:24:46.332] patient_3
[01:24:48.138 --> 01:24:49.032] patient_3
[01:25:47.281 --> 01:25:48.277] doctor
[01:25:49.542 --> 01:25:52.715] doctor
[01:26:12.965 --> 01:26:20.187] patient_4
[01:27:10.424 --> 01:27:15.554] patient_3
[01:27:20.515 --> 01:27:22.034] doctor
[01:27:26.337 --> 01:27:26.708] doctor
[01:27:26.843 --> 01:27:28.025] doctor
[01:28:29.534 --> 01:28:30.918] patient_1
